id,text,label,source,reviewed,collected_at,category,source_family,origin,review_method,retrieved_at,split
public-ntok-01,[본인확인] 인증번호 483921. 직접 시작한 휴대폰 본인확인 화면에서 사용하는 번호입니다.,0,https://partner.ntok.go.kr/Static/국립극장_대관사용자_메뉴얼_250204.pdf,true,,authentication,ntok,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-ntok-02,[국립극장] 본인 인증에 성공했습니다. 대관 사용자 가입 절차의 인증이 완료되었습니다.,0,https://partner.ntok.go.kr/Static/국립극장_대관사용자_메뉴얼_250204.pdf,true,,authentication,ntok,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
public-ntok-03,[본인확인] 휴대폰 문자로 받은 여섯 자리 번호는 진행 중인 본인확인 절차에 사용됩니다.,0,https://partner.ntok.go.kr/Static/국립극장_대관사용자_메뉴얼_250204.pdf,true,,authentication,ntok,source_grounded_paraphrase,assistant_source_check,2026-09-15,train
kakao-ccsms-01,"[Web발신] [현대카드]-승인 김**님 04/06 15:26 1,500원(일시불) 카페매장 누적:354,220원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-02,"[Web발신] [현대카드]-승인 이**님 05/18 13:40 3,400원(일시불) 온라인마트 누적:612,900원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-03,"[Web발신] 하나(6*8*) 김**님 04/06 15:26 편의점 일시불/3,500원/누적-4,645원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-04,"[Web발신] KEB하나 박**님 4*6* 일시불 30,000원 온라인결제 03/23 09:58 누적 2,368,397원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-05,"[Web발신] KB국민카드 2*5* 정**님 03/25 09:30 2,200원 편의점 누적 97,440원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-06,"[Web발신] [KB]04/08 21:27 078501**554 식료품점 체크카드출금 13,000",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-07,"[Web발신] KB국민체크(6*3*) 김**님 04/24 12:13 20,000원 음식점 사용",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-08,"[Web발신] KB*카드 김**님 05/29 20:52 320,000원 동물병원 취소 누적 560,060원",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-09,"[Web발신] 농협BC(4*8*) 오**님. 04/14 11:51. 일시불81,400원. 누적금액679,780원. 음식점",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
kakao-ccsms-10,"[체크.승인] 22,000원 씨티BC(1*9*) 김**님 01/23 12:34 일반식당",0,https://github.com/kakao/credit-card-sms-parser/blob/master/test/test_credit_card_sms_parser.rb,true,,payment_status,kakao_credit_card_sms_parser,licensed_fixture_anonymized,assistant_source_check,2026-09-15,train
