id,incident_id,source_case_type,theme,text,label,source,data_origin,review_reason
inc-MOB-BEN-026:sms-1,inc-MOB-BEN-026,benign,통신사 요금/데이터 사칭,"[알림] 고객님, 이번 달 데이터 기본 제공량이 모두 소진되었습니다. 현재 기준 초과 요금 25,400원이 발생 중이오니, 요금제 변경 또는 데이터 충전은 고객센터 앱에서 확인하세요. 상세내역: https://mobile-carrier.customer-support.example/usage",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-027:sms-1,inc-MOB-BEN-027,benign,정부지원금/환급금 사칭,2024년도 미수령 정부지원금(환급금)이 존재합니다. 신청 기한이 임박하였으니 아래 공식 홈페이지에서 확인 후 수령하시기 바랍니다. https://gov.support-check.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-028:sms-1,inc-MOB-BEN-028,benign_lookalike,택배/배송 실패 사칭,[배송알림] 주소지 불분명으로 배송이 중단되었습니다. 금일 중 미확인 시 자동 반송 처리됩니다. 확인: https://parcel-check.logis-track.example,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-029:sms-1,inc-MOB-BEN-029,benign_lookalike,인증서 갱신/만료 사칭,[공동인증센터] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 금융거래가 제한되오니 아래에서 갱신해 주시기 바랍니다. https://cert-update.refund-check.example/renew,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-030:sms-1,inc-MOB-BEN-030,benign_lookalike,통신사 요금/데이터 사칭,"[알림] 고객님, 이번 달 데이터 기본 제공량이 모두 소진되었습니다. 현재 기준 초과 요금 45,800원이 발생할 예정입니다. 상세 내역 및 요금제 변경은 아래 링크에서 확인하세요. http://bill-check.my-telecom.example",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-035:sms-1,inc-MOB-BEN-035,benign,결제/승인 확인 사칭,"[Web발급] 07/24 12:35 카드 승인 458,000원(일시불) 본인 요청 아닐 시 즉시 확인 및 신고 바랍니다. https://pay-service-center.example/status",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-036:sms-1,inc-MOB-BEN-036,benign,채용/면접 결과 사칭,[OOO 채용안내] 최종 면접 결과 및 서류 등록 안내입니다. 당일 18시까지 미제출 시 합격이 취소될 수 있으니 확인 바랍니다. https://recruit-portal.corporate.example/result,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-037:sms-1,inc-MOB-BEN-037,benign,가족/지인 사칭 긴급 송금,아빠 나 폰 액정 깨져서 수리 맡겼어. 급하게 송금할 곳이 있는데 인증이 안 돼서 그래. 여기로 연락 좀 줘. https://family-support.official-service.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-038:sms-1,inc-MOB-BEN-038,benign_lookalike,통신사 요금/데이터 사칭,"[통신안내] 고객님, 7월분 데이터 통화료가 15만원을 초과하였습니다. 한도 초과로 인한 회선 정지 예정을 확인하세요. 상세내역: https://mobile-verify.telecom-check.example/usage",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-039:sms-1,inc-MOB-BEN-039,benign_lookalike,택배/배송 실패 사칭,[배송알림] 주소지 불명으로 배송이 중단되었습니다. 아래 링크에서 주소를 확인해 주세요. 오늘 내 미확인 시 반송 처리됩니다. http://delivery-check.address.example/info,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-040:sms-1,inc-MOB-BEN-040,benign_lookalike,결제/승인 확인 사칭,"[결제알림] 2025-07-24 10:13:55 고객님의 카드로 985,000원이 승인되었습니다. 본인 요청이 아닐 경우 즉시 신고 바랍니다. 상세확인: https://k-auth.pay-verify.example/report",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-045:sms-1,inc-MOB-BEN-045,benign,인증서 갱신/만료 사칭,[금융안내] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 금융거래가 제한되오니 아래 공식 홈페이지를 통해 갱신해 주시기 바랍니다. https://portal.service-update.example/cert,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-046:sms-1,inc-MOB-BEN-046,benign,인증서 갱신/만료 사칭,[정부24] 고객님의 공동인증서 만료가 3일 남았습니다. 만료 시 금융거래가 제한되오니 갱신 바랍니다. https://gov-portal.example/cert,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-047:sms-1,inc-MOB-BEN-047,benign,계정 보안 경고 사칭,[계정센터] 고객님의 계정이 새로운 환경에서 로그인되었습니다. 본인이 아닐 경우 즉시 확인해 주세요. https://auth-secure.portal.example/login-check,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-048:sms-1,inc-MOB-BEN-048,benign_lookalike,정부지원금/환급금 사칭,"[민원24] 귀하의 미수령 정부지원금 1,250,000원이 금일 18:00부로 소멸될 예정입니다. 즉시 확인하여 수령하시기 바랍니다. 안내: https://k-gov.refund-check.example/auth",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-055:sms-1,inc-MOB-BEN-055,benign,통신사 요금/데이터 사칭,"[통신사] 고객님, 8월분 미납 요금이 발생하여 09/04부로 회선 정지 예정입니다. 상세 내역 확인: https://mobile-carrier.customer-portal.example/pay",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-056:sms-1,inc-MOB-BEN-056,benign,채용/면접 결과 안내,[채용안내] 지원하신 포지션의 최종 면접 결과를 안내드립니다. 결과 확인 및 향후 일정은 공식 채용 포털(https://recruit.corporate.example/status)에서 확인 가능합니다.,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-057:sms-1,inc-MOB-BEN-057,benign,택배/배송 실패 사칭,배송주소 불일치로 인해 물품이 보관 중입니다. 오늘 18시까지 확인되지 않을 경우 반송 처리됩니다. 상세 정보 확인: https://parcel-check.logistics-service.example/v/392k1,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-058:sms-1,inc-MOB-BEN-058,benign_lookalike,모바일 금융앱 업데이트 사칭,[금융보안] 고객님의 금융앱 버전이 만료되었습니다. 보안 사고 방지를 위해 최신 필수 보안 업데이트(v4.2.1)를 즉시 진행해 주십시오. 미업데이트 시 당일 오후 6시부터 이체 서비스 이용이 제한됩니다. 업데이트: https://mobile-verify.update-secure.example/auth,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-059:sms-1,inc-MOB-BEN-059,benign_lookalike,정부지원금/환급금 사칭,[생활지원금안내] 귀하께서는 2026년 하반기 미수령 환급금 대상자입니다. 기한 내 미신청 시 소멸되오니 즉시 확인 바랍니다. 확인: https://gov-refund.support-portal.example/auth,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-060:sms-1,inc-MOB-BEN-060,benign_lookalike,인증서 갱신/만료 사칭,고객님의 공동인증서 만료가 1일 남았습니다. 만료 시 모든 금융거래가 제한되오니 즉시 갱신하시기 바랍니다. 확인: https://cert-update.auth-renewal.example/verify,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-065:sms-1,inc-MOB-BEN-065,benign,계정 보안 경고 사칭,[보안알림] 고객님의 계정에 새로운 기기(iPhone 15)에서 로그인이 시도되었습니다. 본인이 아닐 경우 즉시 확인하십시오. https://safety.account-verify.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-066:sms-1,inc-MOB-BEN-066,benign,결제/승인 확인 사칭 (정상),"[00카드] 11/23 15:10 (0103) 985,000원 승인완료. 본인 아닐 시 즉시 확인: https://official-card.example/check",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-067:sms-1,inc-MOB-BEN-067,benign,계정 보안 경고 사칭,고객님의 계정에서 새로운 기기(Windows/인천) 로그인이 감지되었습니다. 본인이 아닐 경우 즉시 확인해 주세요: https://id-security.masked-corp.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-068:sms-1,inc-MOB-BEN-068,benign_lookalike,택배/배송 실패 사칭,"고객님, 주소지 불분명으로 택배 반송 예정입니다. 오늘 중 확인 바랍니다. k-gov.delivery-check.example",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-069:sms-1,inc-MOB-BEN-069,benign_lookalike,통신사 요금/데이터 사칭,"[알림] 고객님, 11월 요금 미납으로 익일 회선 정지 예정입니다. 상세 명세 확인 및 납부: mobile-bill.pay-check.example",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-075:sms-1,inc-MOB-BEN-075,benign,결제/승인 확인 사칭 (정상 서비스),"[정식 알림] 11/11 15:10 (주)코퍼레이션 45,900원 결제 완료. 본인 요청이 아닐 경우 고객센터 확인: https://official-check.service.example/support",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-076:sms-1,inc-MOB-BEN-076,benign,계정 보안 경고 사칭,고객님의 계정에 새로운 환경에서의 로그인이 감지되었습니다. 본인이 아닐 경우 즉시 확인해 주세요. https://auth-secure.account-check.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-077:sms-1,inc-MOB-BEN-077,benign,공공기관 과태료/세금 사칭,"[정부24] 고객님, 미납된 지방세 과태료가 있습니다. 11월 15일까지 납부하지 않을 경우 가산금이 발생하오니 아래 링크에서 확인 바랍니다. https://gov-portal.official-site.example/taxes",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-078:sms-1,inc-MOB-BEN-078,benign_lookalike,계정 보안 경고 사칭,[보안통지] 고객님의 계정에 새로운 기기(Windows/러시아) 접속이 감지되었습니다. 본인이 아닐 경우 즉시 확인 후 차단해 주세요. 안내: https://account-protect.safe-check.example/v/39210,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-079:sms-1,inc-MOB-BEN-079,benign_lookalike,채용/면접 결과 사칭,"[채용안내] 지원하신 포지션의 최종 합격 소식을 전해드립니다. 서류 제출 기한은 금일 18시까지이며, 미제출 시 합격이 취소될 수 있습니다. 확인: http://career-portal.verify-check.example/result",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-080:sms-1,inc-MOB-BEN-080,benign_lookalike,인증서 갱신/만료 사칭,[공지] 고객님의 공동인증서 만료 예정(2025-11-12)입니다. 만료 시 모든 금융거래가 제한되오니 즉시 갱신하시기 바랍니다. 갱신하기: http://cert-renew.support-center.example,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-086:sms-1,inc-MOB-BEN-086,benign,공공기관 과태료/세금 사칭,[정부민원안내] 귀하의 자동차 과태료가 미납되어 안내드립니다. 납기일 경과 시 가산금이 부과되오니 확인 후 납부 바랍니다. 상세내역: https://gov-service.example/tax/check,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-090:sms-1,inc-MOB-BEN-090,benign_lookalike,채용/면접 결과 사칭,[채용안내] 지원하신 포지션의 최종 합격 및 서류 제출 안내입니다. 금일 18시까지 미제출 시 합격이 취소될 수 있습니다. 확인: http://hr-portal.recruit-verify.example/result,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-095:sms-1,inc-MOB-BEN-095,benign,계정 보안 경고 사칭 (정상 서비스),[본인확인] 회원님의 계정이 새로운 환경(중국)에서 로그인이 시도되었습니다. 본인이 아닐 경우 즉시 보호조치를 진행하세요. https://id.security-portal.example/protect,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-096:sms-1,inc-MOB-BEN-096,benign,결제/승인 확인 사칭,"[카드승인] 08/15 14:05 982,000원(해외결제) 본인요청 아닐시 즉시 신고/취소: https://pay-check.corporate.example",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-097:sms-1,inc-MOB-BEN-097,benign,통신사 요금/데이터 확인,"고객님, 8월분 실시간 이용요금 명세서가 발행되었습니다. 상세내역 확인: https://my.telecom-portal.example",,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-098:sms-1,inc-MOB-BEN-098,benign_lookalike,모바일 금융앱 업데이트 사칭,[보안통지] 고객님의 금융거래 안전을 위해 필수 보안 업데이트가 필요합니다. 미업데이트 시 당일 24시부터 뱅킹 서비스 이용이 제한됩니다. 확인: https://update-mobile.safe-check.example/auth,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-099:sms-1,inc-MOB-BEN-099,benign_lookalike,인증서 갱신/만료 사칭,고객님의 공동인증서 만료가 금일 24시 예정입니다. 갱신하지 않을 경우 금융거래가 제한되오니 즉시 아래 링크에서 갱신해 주시기 바랍니다. https://gov-auth-center.renewal.example,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-100:sms-1,inc-MOB-BEN-100,benign_lookalike,공공기관 과태료/세금 사칭,[법규위반통지] 귀하의 차량이 신호위반으로 과태료가 부과되었습니다. 미납 시 가산금이 발생하오니 즉시 확인 바랍니다. 납부안내: http://v-gov.tax-notice.example/v/39201,,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-105:sms-1,inc-MOB-BEN-105,benign,채용/면접 결과 사칭,[OOO채용] 하반기 정기채용 면접 결과 안내. 아래 채용 홈페이지에서 확인 바랍니다. https://recruit-check.example/view,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-106:sms-1,inc-MOB-BEN-106,benign,계정 보안 경고 사칭,[보안알림] 고객님의 계정에 새로운 기기(Windows/서울)에서 로그인이 감지되었습니다. 본인이 아닐 경우 즉시 확인해 주십시오. https://account.security-safe.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-107:sms-1,inc-MOB-BEN-107,benign,택배/배송 실패 사칭,[배송알림] 주소불명으로 물품 배송이 중단되었습니다. 아래 링크에서 주소를 수정해주시기 바랍니다. http://official-delivery.tracking-check.example,,KR-MOB-SMISHING-v1,synthetic,정상 사건 라벨을 뒷받침하는 발신자·공식 도메인 근거를 문자에서 확인할 수 없음; 사기와 유사한 표현을 정상으로 또는 반대로 재라벨링하지 않고 보류
inc-MOB-BEN-108:sms-1,inc-MOB-BEN-108,benign_lookalike,모바일 금융앱 업데이트 사칭,"[금융보안센터] 고객님, 필수 보안 모듈 업데이트가 완료되지 않았습니다. 07월 07일까지 미업데이트 시 금융 서비스 이용이 제한될 수 있습니다. 설치: https://safe-auth-update.bank-service.example/v2",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-109:sms-1,inc-MOB-BEN-109,benign_lookalike,결제/승인 확인 사칭,"[WEB발신] 고객님, 07/07 18:13 결제 승인 498,000원(해외결제). 본인 요청 아닐 시 즉시 확인 및 신고: https://k-pay.check-safety.example",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
inc-MOB-BEN-110:sms-1,inc-MOB-BEN-110,benign_lookalike,결제/승인 확인 사칭,"[해당기관] 07/07 12:11 발송: 고객님 명의로 875,000원이 승인되었습니다. 본인 요청이 아닐 경우 즉시 확인 후 취소 신청 바랍니다. 확인: https://k-gov.refund-check.example/auth",,KR-MOB-SMISHING-v1,synthetic,일반 인증서·배송·결제·요금·채용 안내와 겹치며 가상 링크도 공식 여부 확인 불가; 사건 후속 로그 없이 수신 문자만으로 확정 학습하기 어려워 보류
